,track_id,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,instrumentalness,duration_ms,time_signature,acousticness,speechiness,energy,loudness,tempo,key,valence,danceability,liveness
1996,3DL0ENqjvC8ThxivuL3AUW,1XnyRY1hSHsZxiIEX8Nzl5,The Belonging Co,57,20733,"anthem worship,world worship",0.0,242914,4,9.89e-05,0.0485,0.854,-6.129,130.001,2,0.356,0.523,0.69
1997,5IUBzdrhj5rFz87PJjLpQH,6piIAIurGAryW5h1rqQC16,Passion,67,193977,"anthem worship,ccm,christian alternative rock,christian music,christian rock,world worship,worship",0.0,526307,3,0.102,0.0632,0.802,-4.463,147.94,9,0.279,0.33,0.184
1998,1rO2tmrMZq6Cid4eHGOxyK,7apN8bBgl19E0Ona9pvPq0,Cody Carnes,52,11692,"anthem worship,deep ccm,world worship",0.0,293071,4,0.00522,0.0523,0.705,-7.812,150.081,1,0.0845,0.312,0.113
1999,2vNY0WQo5xtwQPYnuPlwEB,1VfUR2Su5Ags5Im3mZGnPo,Kalley Heiligenthal,52,8674,"anthem worship,world worship",0.000582,322326,4,0.00162,0.0281,0.56,-6.925,138.057,2,0.107,0.394,0.107
2000,2XVluRr8S9WV0ku8gH05hP,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",7.14e-06,303800,4,0.113,0.055,0.776,-6.675,150.88,9,0.149,0.327,0.655
2001,01GHOdYIsJfrFBqsPpXd6k,5aCopGFOGbHyfqe3yotDPu,Citipointe Live,58,56626,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,388133,4,0.00243,0.0322,0.567,-7.467,148.089,11,0.221,0.451,0.146
2002,3LCQsrzn7QHZpeHwKV78Kt,0oM8RWZXhJYSnzGdepP7fM,Aaron Shust,58,102988,"anthem worship,ccm,christian alternative rock,christian music,christian rock,rock cristiano,world worship,worship",0.0,369680,4,0.0453,0.031,0.612,-6.237,148.058,0,0.236,0.447,0.538
2003,3Z3mh8aMW1vGBhsSkKT8yR,3SgHzT552wy2W8pNLaLk24,Hillsong Worship,78,1125308,"russian ccm,world worship,worship",0.000384,343893,4,0.189,0.0322,0.594,-7.638,166.123,0,0.101,0.31,0.329
2004,5f7eZRUBHwsf8SMVYVCgrG,0Onvkz1Nbs4wHXXUwOIGk8,Jesus Culture,66,547052,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,477880,4,0.00813,0.0461,0.868,-4.49,113.93,7,0.389,0.417,0.265
2005,7HdvPclBiBpuUzpERTYfxK,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",0.000136,411040,4,0.525,0.031,0.322,-11.376,141.188,9,0.0759,0.209,0.129
2006,4uwv9Nz3GuPApwIIh3CSA5,74cb3MG0x0BOnYNW1uXYnM,Hillsong United,74,1768385,"ccm,christian alternative rock,christian music,rock cristiano,world worship,worship",1.46e-05,380867,4,0.000752,0.0546,0.906,-4.914,153.946,4,0.268,0.299,0.524
2007,0x37pd7WllmDTIMm4T0UaN,0Onvkz1Nbs4wHXXUwOIGk8,Jesus Culture,66,547052,"anthem worship,ccm,christian music,deep ccm,world worship,worship",0.0,567187,4,0.0232,0.0341,0.605,-5.583,131.986,4,0.14,0.379,0.863
